corpus_segment_id,text_sha256,text,source_urls,locators,gold_topic_code,reviewed_by
a9842e003355b36ab0387b68,ffa9e37f3f61b63f4f455924b5018894bbcc060e45ea1555172be467d385ca2a,absolutely for we and I don't I told you the thirteen minutes fifteen minutes goes very very quickly Michael before we end how can people learn more about your stance,https://archive.org/download/Greater_Somerville_Election_Special_-_State_Representative_Tim_Toomey_and_Candidate_Mike_Connolly/Greater_Somerville_Election_Special_-_State_Representative_Tim_Toomey_and_Candidate_Mike_Connolly.asr.srt,"time 00:12:54,90-00:12:59,35 -> time 00:12:59,36-00:13:04,01",,
789a4368206606d34d59b288,a8ab16c19092693243890250147b5e7e2a3dd3f18702410f48696c2b216ddd9c,"We also need to ensure that Vision Zero policies and practices are incorporated into major transit infrastructure changes happening downtown and along the waterfront. Currently, the One Center City plan does not include metrics to assess pedestrian safety, such as deaths at crosswalks. We must ensure that Vision Zero goals are incorporated into all transportation infrastructure plans.",https://www.theurbanist.org/2017-endorsement-questionnaire-jon-grant,paragraph 61,,
4168e38b48f690140a9bc744,812925557c6fae948668b09f97199f32da8bf3fa32692c8d68da7fc5301a3f92,"Fair Elections + Fair Districts For the health of our democracy, we must ensure that voters have meaningful choices and a chance to allow their voices to be heard at every election opportunity - and the only way to ensure that in the long term is through an accountable, transparent, and citizen-controlled redistricting process that prioritizes amplifying the power of democracy over the continued dominance of one party over another. Kareem supports instituting a Citizen's Review Board that will have final approval over the redrawn state districts.",http://www.kareemforpa.com/issues,paragraph 52 -> paragraph 54 sentences 1-2,,
1bba39fd24b06624f8ec9d7d,e593b930947f219ad80b2896a0a17cbf72f96507e205b7c1f1c3665eff7b8d7b,"That’s why our campaign is based on 3 tenets. It’s a campaign based on co-governance, the idea that it’s not me going into city council, but it’s all of us, with a seat at the table and government in our hands through policies like participatory budgeting, and a community driven zoning process.",https://news.wttw.com/elections/voters-guide/2019/candidates/chicago-city-council/ugo-okere,paragraph 75,,
cc8648f25d47d0dc44f90220,78793c377aef874a0ce0a6d8eda31169e9d7b6ecb2200b5ba2727d767fcfb902,Today's Ads (Opens in new window) Public Notices Shaw Media Marketing (Opens in new window) Suburban Life Deals (Opens in new window),https://mysuburbanlife.com/,paragraph 101 -> paragraph 104,,
eb18fbd7d36974758cca324d,fa8b1ef45b7eebbde52fc94388dd14316aa52099fb8ad13511b66cb1f7fe0a75,"Q&A with Hilary Wheatley Taylor, Candidate for Magisterial District Judge for District 05-2-19 Q&A with Connor Mulvaney, Candidate for City Council District 4",https://www.pghlesbian.com/2021/04/qa-with-anita-prizio-allegheny-county-councilor-district-3,paragraph 365 -> paragraph 366,,
3714deade820b004c6511a54,f24bc98cf64cd6105b98166f8c0d3f06218400c87a822789691d995deb27f4a1,Massachusetts Michigan New Jersey New Mexico New York Ohio Oregon Pennsylvania Rhode Island Texas Washington Wisconsin Get Active Become a WFP member,https://workingfamilies.org/vote-keron-alleyne-for-state-assembly/,paragraph 106 -> paragraph 119,,
1ab291878ac9d036bc3546c8,6e4ef725422666a76d4260dc140976b59ffc9722556709d7103c2cb27f5e75f2,"(opens in new tab) (opens in new tab) AFSCME Know Your Rights Online Training (opens in new tab) This session is designed to prepare you, your family, and your coworkers to stay safe and informed in the face of immigration enforcement.",https://dc47.org/,paragraph 384 -> paragraph 387,,
9dc3a3df34801d79b5f30895,30ce3abae295e7403099993147248b3d83db896d65ee84eddf0ac4c0bea89572,"Primary Election day: Tuesday, May 14th Are You Registered To Vote? CLICK HERE Find out if you are registered to vote, what your registered party affiliation is, where to your voting place is, and see the status of your mail-in or provisional ballot: https://voterservices.elections.maryland.gov/VoterSearch",https://listentomaryland.org/,paragraph 38 -> paragraph 40,,
2d5691c7a1aecf8c3d359953,358fe00d8c7744b5074e5077e622fe1f969002f86cd0f560e4bbb5614f8644c4,"Our events teach our volunteers how to organize, connect with their fellow New Yorkers, and build community and solidarity. Our organizing is the type of work so desperately needed right now because it builds community and makes people realize that collective power can produce change. It is the perfect antidote to the conspiratorial self-interest billionaire politics that has taken over our country.",https://jimowles.org/news/candidate-answers-to-joldc-alexa-avils-for-city-council-district-38-2025,paragraph 67 sentences 5-7,,
def226b00860904c7101f013,469a379af28fbb87a26c5ae96bdd29c618e4d293a301bb40b2af50e11f62a6b5,Fresh Hell Rodneyse Bichotte Hermelyn Almost Lost Control of the Brooklyn Dems. So She's Changing the Rules The scandal-ridden Brooklyn Democratic Party is trying to make June's regime-changing elections meaningless.,https://hellgatenyc.com/,paragraph 39 -> paragraph 41,,
54e31a18b99affea1d958163,af34e96da4879f587025381d9736a6f24d5f76b0a535ba0c8767eb7ac1f39ef5,10 captures 12 Aug 2014 - 06 Apr 2017 Mar APR May 16 2015 2016 2017 success fail About this capture,http://web.archive.org/web/20160416122402/https://timtoomey.org/transportation/,paragraph 1 -> paragraph 12,,
bbaa8f13464a295c13656fc3,62a0cfaea1f2af8e7c8b80696b00e4921de27d28ba67dd0cc8ee66c736ea1b4a,There is a process in place to make amendments to the constitution without . resorting to electing delegates based on gerrymandered senate district lines or opening up all the progress we've made to being undone or rolled back. I would like to see Brooklyn Democratic Party be a unified force for reform and good in the City Council.,https://d3n8a8pro7vhmx.cloudfront.net/newkings/pages/268/attachments/original/1495475306/Brannan_NKD_City_Council_Candidate_Questionnaire_2017.pdf,paragraph 2 sentences 21-22,,
fded62719ed6f18a3a044cda,738ebe406489c4988af432ec1d53ea25301a92edcbda7f228fd93f8e21bc142f,"What do you consider the biggest problem facing Montgomery County today? I am deeply concerned about our economic trajectory. Demographically, the County is growing but growing among families in poverty. Many in our traditionally affluent suburban communities are shocked when I tell them that nearly half of our elementary school students receive Free And Reduced Meals and a quarter require ESOL support.",https://www.connectionnewspapers.com/news/2018/may/09/bill-frick-democrat-43-bethesda,paragraph 111 -> paragraph 112 sentences 1-3,,
8925b16eaf7b97ef388e6165,439cde20d7cfad835da60b0d94dfc71f6f671b25990e1010b9fa48f94ca55af6,"Kevin M Bailey: No response. Ethics Should the inspector general have the power to audit and review City Council programs, operations and committees? Why or why not?",https://chicago.suntimes.com/2019/1/27/18342740/20th-ward-candidate-for-alderman-kevin-m-bailey,paragraph 295 -> paragraph 297,,
6300539d39cf56d63279dde7,89fd8e5ce4790ebdee6199dca6ace324346521958909d98d747a302ab49e735c,Chairperson for a Neighborhood Revitalization Plan implementation committee for five years. Chairperson of the Human Development/Health and Safety committee of the Minneapolis,https://wedgelive.com/susan-whitaker-mn-house-60a,paragraph 46 -> paragraph 47,,
4ab11648b008f350f68c4225,0394b0c743158f90adde71806296ae63ee489a53350cfd41832995a77248e109,► February (68) ► January (63) ► 2016 (862) ► December (53) ► November (70) ► October (78) ► September (71) ► August (64) ► July (61) ► June (67),https://lehighvalleyramblings.blogspot.com/,paragraph 271 -> paragraph 280,,
a6f0c86bff5776311e42daed,affb3ba8f970a1aa1deceade20be76bb270c88315fd14ad0b398fe494c8232a5,• Require disclosure of safety steward reports. • Require the creation of workplace safety and health committees with elected members. • Empower workplace committees to adapt and implement safety and health standards and to have the discretion to request negotiations over new standards.,https://jimowles.org/news/candidate-answers-to-joldc-denny-salas-for-ny-assembly-district-65-2022,paragraph 174 -> paragraph 176,,
f55e8f41654ea9a168d830d6,db85efd884c3d158adb42cb9325e95a61d442bb0c2a2fe034aec058158b0bc93,"As many as 120 people can stay at the former YMCA outpost, which closed in January 2021 . Though the situation is “fluid,” the facility could be used as a shelter for “at least the next several months,” a spokesperson for Silverstein said.",https://blockclubchicago.org/2022/09/20/west-ridges-shuttered-ymca-building-being-used-to-house-migrants-bused-in-from-texas,paragraph 201,,
9cdb69995212a93d59a7075b,49f22b129611539ac842bc9e038786a8e599d4bace0e1d4b3ae94d12ae804eb5,"Sacramento wants leadership that will make the tough decisions necessary to solve our biggest challenges and get Sacramento on track. As Mayor, I will bring my experience as a physician and public health expert to tackle homelessness with a results first approach that includes housing, prevention, treatment, and enforcement. My “Back to Basics” agenda will clean up blight and prioritize city responsiveness to neighborhood issues.",https://www.cityofsacramento.gov/content/dam/portal/clerk/Elections/2024-Election-Documents/Candidates/Richard-Pan-Candidate-Worksheet---Website.pdf,paragraph 1 sentences 5-7,,
c1d74825d7169da04fd026fb,1693daf38e6ecb5ddbeef8923b744cc1a1f23f9e9c17c0bec34450a549f22e30,"ROCHESTER BEACON : Are you worried about what’s happening at the federal level? How do you expect that to play out at the city level? If you’re worried, what are some of your concerns there?",https://rochesterbeacon.com/2025/05/08/conversations-with-miguel-melendez,paragraph 123,,
89e96c60e380b546e8c1c5e8,94ab78845f4405e8d084076a28b9e3159f6f6a6189d0fca844b25a4b404f0df3,"His foundational idea is that the federal government should “create a framework for young people and families to grow” — specifically, to “grow great 25-year-olds” who support themselves without relying on government handouts.",https://www.bxtimes.com/marty-dolan-campaigns-for-second-time-to-challenge-aoc,paragraph 151,,
9fa646cecb6a2203536ddf68,d1d07453826fdfb20e8ac682be331284be55924d25bf3facdf11a85d6b0137c0,"OUR COLUMNISTS In Portland, Red Sox outfielder Roman Anthony looks to resurrect his season by Travis Lazarczyk Find news from your town",https://pressherald.com/,paragraph 237 -> paragraph 240,,
062e48a41cc3c8bfc7253916,68780baf363c0926fb34903d0b14bde42d7abf73cbc7be836d3f9d990fc5efce,"Fracking I have several concerns about fracking and gas drilling in our area. In addition to robust monitoring of drilling sites in our region, county council must make sure that information about where fracking occurs and what chemicals are used is made available. This can be done in a way that both protects proprietary fracking fluid compositions and informs the public of local contaminants.",https://web.archive.org/web/20181108190712id_/https://ballotpedia.org/Anita_Prizio,paragraph 115 -> paragraph 116 sentences 1-3,,
e49cb80e1cecf28082c3b821,2933629e7d24b7f0d61bce545bd704b5fda865bfdd660f5e2b6b23a3b6dc371e,"As your next County Executive, I will be proposing that we start using a racial equity lens when crafting all of our county policies, and that includes staffing policies.",https://www.latinomontgomerydems.org/wp-content/uploads/2018/03/Elrich-Questionnaire-2.23.pdf,paragraph 3 sentence 10,,
5698077887c4c21bf33d495b,1491058f61f08a9214feb62e1ea91ddbe84cd8ace476415fa5898a6a8709d0ac,I support the LaSalle Street Tax. I also support legalizing and taxing recreational marijuana (especially if we can ensure that the communities which have been hit hardest by over policing and marijuana crimes benefit the most from tax revenues and economic benefits of legalized and taxed recreational marijuana).,https://chicago.suntimes.com/2019/1/27/18342739/20th-ward-candidate-for-alderman-jeanette-taylor,paragraph 277,,
6fe0bd208003ebc671cad8bf,00ba99594601d1aae259697c72d6bc418a86881c01a192ea55f6a44786309cce,"It’s a hard reality that the United States sometimes has to work with undemocratic governments to protect our own security, but we should also recognize that relying on corrupt authoritarian regimes to deliver us security is a losing bet. Democratic governments that are accountable to their own people, which share our values and have open societies make far better partners in the long term.",https://www.cfr.org/articles/bernie-sanders,paragraph 34 sentences 5-6,,
b18580c21efdba4b9c84171d,bbb8d490c1fa05e97ac691e28cc57f4ddc664f7bf21fac18d5e4d3ac20db1a47,"Yes, all of the above. Should the NYPD Vice Squad be eliminated? Yes Should Dermot Shea be fired immediately? Yes",https://jimowles.org/news/candidate-answers-to-joldc-brandon-west-for-city-council-district-39,paragraph 46 -> paragraph 50,,
891bb768f39482eaca795cf4,cb9750741062a97576e2fdb92d51f8b58905a1b56c6f0cf74fa65172699b5c12,"Since taking office, Megan has become the progressive champion of St. Louis, fighting for a higher minimum wage, civilian oversight of our police department, reproductive rights for women, protections for victims of domestic violence, marijuana legalization, and responsible development with community benefits. More recently, she gained attention for her powerful #MeToo post to bring attention to issues of sexual assault and harassment.",https://green4stl.com/,paragraph 32,,
64335a9b3a256d427b350af4,615df327e3678399efd3746a6667ee2bccb59f99947ebd3cd86f5c9ea7660a7e,"Get informed Byron Sigcho Lopez, Incumbent RACE: City Council - 25th Ward < prev candidate next candidate > About the Candidate Name: Byron Sigcho Lopez",https://news.wttw.com/elections/voters-guide/2023/Byron-Sigcho-Lopez,paragraph 53 -> paragraph 59,,
c4c9e3da444a53a0acd7ab2f,a692cf509b4a2ef1358de066e1d52c1bbd7e9f4f211b9c5f999219ee893b370e,"En el Congreso, Claire impulsará la Ley PRO para facilitar la formación de sindicatos, exigir responsabilidades a los empleadores e impedir que las corporaciones tomen represalias contra quienes exigen dignidad en el trabajo. Utilizará su cargo para apoyar incondicionalmente a los trabajadores que se organizan en toda nuestra ciudad, en los piquetes, en las mesas de negociación y dondequiera que los trabajadores luchen por sus derechos. Esto es precisamente lo que ha hecho a lo largo de toda su vida adulta.",https://clairevaldezforcongress.com/es/issues,paragraph 13 sentences 1-3,,
193669ff1134978405666e49,714ab5149e70233ad61caf19a12590e234111026602c663b7ff292ad038897c9,Honeywell faces former Syracuse Common Council member Chad Ryan in the Democratic primary to represent the party in the race for the Onondaga County Legislature’s 8th District.,https://centralcurrent.org/2025-primary-election-qa-onondaga-legislature-8th-district-candidate-tammy-honeywell,paragraph 44,,
